consensus.cluster	chr	start	end	strand	tpm
8669	chr3L	5184770	5184816	-	5539
8670	chr3L	5228779	5228786	-	1701
8671	chr3L	5247942	5247965	-	134
8672	chr3L	5248439	5248448	-	5309
8673	chr3L	5270332	5270372	-	298
8674	chr3L	5277928	5277989	-	1060
8675	chr3L	5351498	5351543	-	2112
8676	chr3L	5355298	5355346	-	2917
8677	chr3L	5359388	5359430	-	528
8678	chr3L	5364152	5364204	-	168
8679	chr3L	5365977	5365983	-	147
8680	chr3L	5366112	5366261	-	41305
8681	chr3L	5366469	5366487	-	177
8682	chr3L	5367958	5368107	-	15858
8683	chr3L	5371652	5371688	-	316
8684	chr3L	5494729	5494756	-	190
8685	chr3L	5498244	5498287	-	506
8686	chr3L	5498507	5498535	-	439
8687	chr3L	5498742	5499061	-	91880
8688	chr3L	5501440	5501510	-	378
8689	chr3L	5535727	5535764	-	2390
8690	chr3L	5561516	5561600	-	2400
8691	chr3L	5563626	5563697	-	10853
8692	chr3L	5567524	5567526	-	341
8693	chr3L	5568820	5568821	-	173
8694	chr3L	5569329	5569346	-	244
8695	chr3L	5573635	5573638	-	198
8696	chr3L	5577279	5577373	-	27332
8697	chr3L	5603895	5604016	-	6405
8698	chr3L	5608237	5608337	-	5253
8699	chr3L	5662209	5662264	-	2751
8700	chr3L	5750676	5750710	-	371
8701	chr3L	5751595	5751662	-	3128
8702	chr3L	5752082	5752298	-	20336
8703	chr3L	5765422	5765795	-	17389
8704	chr3L	5768774	5768858	-	1235
8705	chr3L	5777275	5777337	-	4331
8706	chr3L	5779554	5779609	-	411
8707	chr3L	5780730	5780910	-	15892
8708	chr3L	5794132	5794269	-	3403
8709	chr3L	5796313	5796442	-	4394
8710	chr3L	5810828	5810959	-	2898
8711	chr3L	5813021	5813141	-	11292
8712	chr3L	5845518	5845519	-	218
8713	chr3L	5896927	5896950	-	95
8714	chr3L	5897379	5897449	-	1542
8715	chr3L	5901626	5901675	-	247
8716	chr3L	5902444	5902461	-	7122
8717	chr3L	5906698	5906785	-	577
8718	chr3L	5918450	5918461	-	146
8719	chr3L	5921313	5921314	-	133
8720	chr3L	5932485	5932610	-	1500
8721	chr3L	5932673	5932804	-	1392
8722	chr3L	5976002	5976022	-	938
8723	chr3L	6010980	6011112	-	2427
8724	chr3L	6075192	6075283	-	1433
8725	chr3L	6094722	6094741	-	369
8726	chr3L	6173827	6173896	-	4597
8727	chr3L	6181789	6181858	-	721
8728	chr3L	6184897	6184968	-	957
8729	chr3L	6185144	6185151	-	101
8730	chr3L	6189059	6189131	-	823
8731	chr3L	6193011	6193012	-	242
8732	chr3L	6193077	6193247	-	27590
8733	chr3L	6218014	6218020	-	6392
8734	chr3L	6233338	6233343	-	292
8735	chr3L	6233385	6233411	-	863
8736	chr3L	6233968	6234082	-	4377
8737	chr3L	6240008	6240012	-	738
8738	chr3L	6252901	6252906	-	193
8739	chr3L	6256652	6256693	-	5182
8740	chr3L	6262663	6262714	-	4119
8741	chr3L	6377203	6377253	-	246
8742	chr3L	6488432	6488447	-	348
8743	chr3L	6495227	6495313	-	1448
8744	chr3L	6534151	6534175	-	126
8745	chr3L	6570590	6570594	-	832
8746	chr3L	6605929	6606044	-	3367
8747	chr3L	6665056	6665057	-	140
8748	chr3L	6665537	6665541	-	157
8749	chr3L	6665586	6665681	-	11969
8750	chr3L	6666589	6666639	-	319
8751	chr3L	6703518	6703519	-	242
8752	chr3L	6719517	6719522	-	466
8753	chr3L	6733566	6733671	-	219
8754	chr3L	6742699	6742854	-	1733
8755	chr3L	6743073	6743206	-	3256
8756	chr3L	6747205	6747303	-	1146
8757	chr3L	6747475	6747538	-	320
8758	chr3L	6750474	6750536	-	1167
8759	chr3L	6752250	6752384	-	2021
8760	chr3L	6752731	6752754	-	462
8761	chr3L	6756410	6756543	-	4778
8762	chr3L	6763171	6763290	-	5517
8763	chr3L	6914869	6914897	-	608
8764	chr3L	6931888	6931990	-	5840
8765	chr3L	6935544	6935651	-	1727
8766	chr3L	6939638	6939712	-	557
8767	chr3L	6952954	6952957	-	144
8768	chr3L	6955240	6955548	-	11365
8769	chr3L	6955817	6955937	-	4365
8770	chr3L	6958030	6958170	-	6560
8771	chr3L	6964751	6964755	-	929
8772	chr3L	6967837	6967989	-	3297
8773	chr3L	6968905	6969056	-	6842
8774	chr3L	6971979	6972026	-	1047
8775	chr3L	6972089	6972107	-	448
8776	chr3L	6972313	6972314	-	390
8777	chr3L	6972355	6972510	-	47363
8778	chr3L	6979950	6980073	-	7641
8779	chr3L	6983936	6983938	-	90
8780	chr3L	6984057	6984198	-	3835
8781	chr3L	6984413	6984459	-	97
8782	chr3L	6984505	6984530	-	203
8783	chr3L	6984580	6984669	-	13088
8784	chr3L	7026760	7026895	-	5829
8785	chr3L	7038324	7038373	-	230
8786	chr3L	7069161	7069268	-	1175
8787	chr3L	7075338	7075339	-	93
8788	chr3L	7125264	7125306	-	257
8789	chr3L	7125456	7125573	-	4202
8790	chr3L	7157068	7157080	-	1316
8791	chr3L	7240515	7240516	-	175
8792	chr3L	7240859	7240881	-	316
8793	chr3L	7240939	7240940	-	138
8794	chr3L	7241250	7241384	-	81020
8795	chr3L	7243832	7243955	-	8084
8796	chr3L	7249101	7249130	-	144
8797	chr3L	7249255	7249365	-	3459
8798	chr3L	7250457	7250540	-	4012
8799	chr3L	7263916	7263921	-	1158
8800	chr3L	7312910	7312918	-	3143
8801	chr3L	7323345	7323421	-	323
8802	chr3L	7328353	7328358	-	792
8803	chr3L	7328765	7328848	-	5070
8804	chr3L	7335144	7335240	-	4242
8805	chr3L	7338919	7339013	-	3750
8806	chr3L	7339096	7339187	-	589
8807	chr3L	7343962	7344034	-	106
8808	chr3L	7345156	7345191	-	322
8809	chr3L	7347119	7347192	-	1451
8810	chr3L	7347853	7348050	-	8078
8811	chr3L	7356597	7356742	-	2211
8812	chr3L	7360063	7360113	-	694
8813	chr3L	7369062	7369128	-	302
8814	chr3L	7369185	7369304	-	8698
8815	chr3L	7381390	7381551	-	5466
8816	chr3L	7387297	7387312	-	112
8817	chr3L	7387361	7387460	-	9757
8818	chr3L	7404145	7404226	-	4366
8819	chr3L	7434519	7434525	-	107
8820	chr3L	7435181	7435189	-	689
8821	chr3L	7437390	7437547	-	11118
8822	chr3L	7496194	7496195	-	200
8823	chr3L	7590963	7591021	-	1524
8824	chr3L	7630558	7630619	-	888
8825	chr3L	7640445	7640484	-	2126
8826	chr3L	7641582	7641683	-	4185
8827	chr3L	7654529	7654564	-	142
8828	chr3L	7654678	7654779	-	4694
8829	chr3L	7668044	7668104	-	107
8830	chr3L	7707203	7707250	-	378
8831	chr3L	7709391	7709496	-	1117
8832	chr3L	7722417	7722503	-	1089
8833	chr3L	7726426	7726477	-	680
8834	chr3L	7742700	7742708	-	2507
8835	chr3L	7767820	7767844	-	169
8836	chr3L	7768244	7768415	-	22273
8837	chr3L	7775357	7775363	-	417
8838	chr3L	7804670	7804671	-	435
8839	chr3L	7809815	7809824	-	1505
8840	chr3L	7828030	7828032	-	226
8841	chr3L	7833065	7833113	-	3726
8842	chr3L	7854795	7854818	-	1494
8843	chr3L	7855545	7855585	-	1591
8844	chr3L	7867365	7867366	-	218
8845	chr3L	7911537	7911562	-	95
8846	chr3L	7911856	7911951	-	1835
8847	chr3L	7915058	7915192	-	4160
8848	chr3L	7936049	7936129	-	1165
8849	chr3L	7946259	7946375	-	5773
8850	chr3L	7974934	7975024	-	7547
8851	chr3L	7975961	7975980	-	482
8852	chr3L	7976055	7976187	-	25930
8853	chr3L	7978556	7978667	-	1402
8854	chr3L	8056368	8056395	-	285
8855	chr3L	8056748	8056789	-	117
8856	chr3L	8058710	8058711	-	312
8857	chr3L	8068993	8069098	-	728
8858	chr3L	8069237	8069328	-	1627
8859	chr3L	8069927	8070038	-	1806
8860	chr3L	8083194	8083272	-	316
8861	chr3L	8091745	8091792	-	316
8862	chr3L	8115837	8115938	-	7123
8863	chr3L	8124475	8124588	-	1086
8864	chr3L	8125022	8125164	-	23588
8865	chr3L	8127757	8127834	-	1548
8866	chr3L	8137470	8137536	-	1305
8867	chr3L	8140349	8140350	-	391
8868	chr3L	8158810	8158900	-	512
8869	chr3L	8159745	8159806	-	2845
8870	chr3L	8164438	8164515	-	908
8871	chr3L	8175907	8175989	-	958
8872	chr3L	8178336	8178464	-	6722
8873	chr3L	8186635	8186670	-	2347
8874	chr3L	8193052	8193187	-	7736
8875	chr3L	8197762	8197888	-	12978
8876	chr3L	8200139	8200218	-	790
8877	chr3L	8202351	8202466	-	1957
8878	chr3L	8238805	8238808	-	238
8879	chr3L	8240553	8240591	-	411
8880	chr3L	8266066	8266118	-	665
8881	chr3L	8286468	8286470	-	510
8882	chr3L	8289472	8289476	-	456
8883	chr3L	8289749	8289801	-	156
8884	chr3L	8289847	8289925	-	1345
8885	chr3L	8299360	8299394	-	308
8886	chr3L	8299788	8299846	-	1962
8887	chr3L	8304043	8304077	-	916
8888	chr3L	8308171	8308193	-	140
8889	chr3L	8308806	8308983	-	30930
8890	chr3L	8309235	8309341	-	670
8891	chr3L	8315423	8315598	-	5848
8892	chr3L	8318910	8318991	-	29595
8893	chr3L	8346121	8346335	-	9257
8894	chr3L	8346377	8346409	-	356
8895	chr3L	8356941	8356999	-	186
8896	chr3L	8358079	8358150	-	2446
8897	chr3L	8358403	8358416	-	140
8898	chr3L	8358700	8358777	-	721
8899	chr3L	8358845	8358870	-	1308
8900	chr3L	8359023	8359128	-	1774
8901	chr3L	8360886	8360924	-	10509
8902	chr3L	8404533	8404633	-	1184
8903	chr3L	8405239	8405317	-	2990
8904	chr3L	8411566	8411611	-	438
8905	chr3L	8411778	8411842	-	323
8906	chr3L	8421839	8421840	-	252
8907	chr3L	8422194	8422198	-	120
8908	chr3L	8439579	8439599	-	287
8909	chr3L	8441369	8441417	-	327
8910	chr3L	8442316	8442385	-	962
8911	chr3L	8445811	8445815	-	126
8912	chr3L	8449371	8449404	-	201
8913	chr3L	8509703	8509808	-	3170
8914	chr3L	8514867	8514937	-	1036
8915	chr3L	8523436	8523555	-	8003
8916	chr3L	8524770	8524921	-	14591
8917	chr3L	8576013	8576069	-	650
8918	chr3L	8600767	8600891	-	5715
8919	chr3L	8604078	8604159	-	3816
8920	chr3L	8623871	8623899	-	1392
8921	chr3L	8634020	8634107	-	1207
8922	chr3L	8720131	8720222	-	5198
8923	chr3L	8721023	8721149	-	2348
8924	chr3L	8721252	8721334	-	468
8925	chr3L	8745239	8745349	-	8924
8926	chr3L	8749724	8749737	-	167
8927	chr3L	8845788	8845864	-	595
8928	chr3L	8888533	8888649	-	11841
8929	chr3L	8912122	8912219	-	785
8930	chr3L	8936720	8936912	-	6534
8931	chr3L	8942547	8942601	-	140
8932	chr3L	8944824	8945008	-	4657
8933	chr3L	8953223	8953230	-	431
8934	chr3L	8954231	8954310	-	4009
8935	chr3L	8954407	8954483	-	1051
8936	chr3L	8964629	8964693	-	1356
8937	chr3L	8966357	8966427	-	1968
8938	chr3L	8974614	8974769	-	6896
8939	chr3L	8985232	8985257	-	713
8940	chr3L	8985558	8985583	-	177
8941	chr3L	8986084	8986089	-	486
8942	chr3L	8990137	8990304	-	14264
8943	chr3L	8997816	8998034	-	5132
8944	chr3L	9009764	9009893	-	11716
8945	chr3L	9049219	9049243	-	151
8946	chr3L	9049351	9049454	-	321
8947	chr3L	9049773	9049776	-	305
8948	chr3L	9049948	9049950	-	223
8949	chr3L	9051768	9051773	-	138
8950	chr3L	9053558	9053565	-	11127
8951	chr3L	9057567	9057613	-	54273
8952	chr3L	9062887	9062993	-	15913
8953	chr3L	9065845	9065873	-	641
8954	chr3L	9065934	9066075	-	2843
8955	chr3L	9072664	9072725	-	1218
8956	chr3L	9075991	9075992	-	129
8957	chr3L	9102281	9102283	-	204
8958	chr3L	9102482	9102484	-	137
8959	chr3L	9102527	9102548	-	109
8960	chr3L	9102660	9102707	-	349
8961	chr3L	9130248	9130445	-	6688
8962	chr3L	9134381	9134487	-	658
8963	chr3L	9137078	9137228	-	3900
8964	chr3L	9208869	9208875	-	2115
8965	chr3L	9236628	9236715	-	1126
8966	chr3L	9311680	9311694	-	142
8967	chr3L	9357747	9357797	-	2355
8968	chr3L	9357877	9357881	-	670
8969	chr3L	9358866	9358953	-	1633
8970	chr3L	9366902	9367058	-	3285
8971	chr3L	9370960	9371079	-	2363
8972	chr3L	9371141	9371142	-	164
8973	chr3L	9371204	9371260	-	466
8974	chr3L	9372490	9372494	-	3678
8975	chr3L	9376746	9376757	-	129
8976	chr3L	9376841	9377004	-	1889
8977	chr3L	9377220	9377456	-	47833
8978	chr3L	9379531	9379559	-	1409
8979	chr3L	9398807	9398966	-	1823
8980	chr3L	9399091	9399263	-	6200
8981	chr3L	9401079	9401198	-	1021
8982	chr3L	9401310	9401326	-	1343
8983	chr3L	9401435	9401658	-	5860
8984	chr3L	9401715	9401720	-	231
8985	chr3L	9401764	9402049	-	1484
8986	chr3L	9402097	9402112	-	276
8987	chr3L	9402163	9402493	-	22106
8988	chr3L	9410752	9410849	-	3020
8989	chr3L	9416853	9416854	-	144
8990	chr3L	9417332	9417428	-	65187
8991	chr3L	9420146	9420223	-	1914
8992	chr3L	9426676	9426807	-	5745
8993	chr3L	9429212	9429324	-	1431
8994	chr3L	9429718	9429856	-	219740
8995	chr3L	9433663	9433670	-	359
8996	chr3L	9435269	9435349	-	293
8997	chr3L	9442166	9442272	-	4313
8998	chr3L	9451362	9451379	-	157
8999	chr3L	9451512	9451632	-	1284
9000	chr3L	9456025	9456083	-	917
9001	chr3L	9456227	9456292	-	1132
9002	chr3L	9457656	9457694	-	265
9003	chr3L	9457891	9457904	-	231
9004	chr3L	9457947	9457948	-	119
9005	chr3L	9460742	9460805	-	2389
9006	chr3L	9476394	9476395	-	179
9007	chr3L	9476849	9477013	-	15263
9008	chr3L	9487695	9487817	-	5905
9009	chr3L	9494221	9494255	-	102
9010	chr3L	9505319	9505329	-	11891
9011	chr3L	9508467	9508585	-	4286
9012	chr3L	9509513	9509626	-	2708
9013	chr3L	9510650	9510652	-	928
9014	chr3L	9511073	9511083	-	194
9015	chr3L	9511124	9511236	-	2417
9016	chr3L	9511483	9511576	-	106801
9017	chr3L	9675548	9675560	-	362
9018	chr3L	9677125	9677133	-	231
9019	chr3L	9679056	9679112	-	1355
9020	chr3L	9679461	9679553	-	177
9021	chr3L	9694366	9694367	-	596
9022	chr3L	9694439	9694481	-	8011
9023	chr3L	9695283	9695312	-	252
9024	chr3L	9695357	9695380	-	282
9025	chr3L	9695429	9695440	-	731
9026	chr3L	9696679	9696720	-	2318
9027	chr3L	9703400	9703511	-	4728
9028	chr3L	9712138	9712181	-	219
9029	chr3L	9713720	9713864	-	3625
9030	chr3L	9718998	9719079	-	7005
9031	chr3L	9722147	9722248	-	423
9032	chr3L	9723128	9723195	-	997
9033	chr3L	9727565	9727571	-	164
9034	chr3L	9744086	9744087	-	184
9035	chr3L	9749127	9749188	-	307
9036	chr3L	9760399	9760421	-	710
9037	chr3L	9836718	9836879	-	14056
9038	chr3L	9838629	9838691	-	837
9039	chr3L	9854709	9854764	-	409
9040	chr3L	9855249	9855308	-	4767
9041	chr3L	9859610	9859683	-	1750
9042	chr3L	9859770	9859904	-	5223
9043	chr3L	9864284	9864368	-	2741
9044	chr3L	9888605	9888681	-	304
9045	chr3L	9893810	9893958	-	3351
9046	chr3L	9894645	9894768	-	4228
9047	chr3L	9896754	9896758	-	312
9048	chr3L	9898201	9898295	-	452
9049	chr3L	9898346	9898593	-	7220
9050	chr3L	9968110	9968161	-	384
9051	chr3L	9968286	9968373	-	2880
9052	chr3L	9971974	9972102	-	8025
9053	chr3L	10000820	10000889	-	699
9054	chr3L	10030115	10030218	-	2779
9055	chr3L	10166585	10166658	-	2139
9056	chr3L	10186098	10186123	-	793
9057	chr3L	10199527	10199586	-	759
9058	chr3L	10201832	10201833	-	233
9059	chr3L	10225180	10225255	-	4878
9060	chr3L	10267105	10267188	-	1216
9061	chr3L	10301836	10301844	-	91
9062	chr3L	10463047	10463142	-	4786
9063	chr3L	10507013	10507015	-	1456
9064	chr3L	10558975	10559105	-	9401
9065	chr3L	10623319	10623366	-	315
9066	chr3L	10623565	10623585	-	38228
9067	chr3L	10623670	10623754	-	274
9068	chr3L	10625593	10625710	-	2498
9069	chr3L	10628426	10628519	-	11011
9070	chr3L	10629989	10630108	-	10891
9071	chr3L	10630881	10630977	-	11437
9072	chr3L	10637842	10637894	-	1555
9073	chr3L	10638087	10638142	-	148
9074	chr3L	10638826	10638873	-	173
9075	chr3L	10639283	10639312	-	449
9076	chr3L	10639356	10639367	-	138
9077	chr3L	10639435	10639499	-	2099
9078	chr3L	10641839	10641887	-	1202
9079	chr3L	10660976	10661079	-	4490
9080	chr3L	10693109	10693168	-	6161
9081	chr3L	10694025	10694157	-	26644
9082	chr3L	10696871	10696874	-	1273
9083	chr3L	10804623	10804631	-	193
9084	chr3L	10804788	10804790	-	562
9085	chr3L	10878914	10879039	-	3223
9086	chr3L	10880980	10881277	-	2279
9087	chr3L	10881341	10881624	-	1630
9088	chr3L	10881686	10881689	-	179
9089	chr3L	10881791	10881842	-	269
9090	chr3L	10882009	10882099	-	198064
9091	chr3L	10882140	10882162	-	179
9092	chr3L	10886022	10886103	-	1384
9093	chr3L	10886435	10886533	-	3448
9094	chr3L	10895816	10895817	-	130
9095	chr3L	10897701	10897754	-	593
9096	chr3L	10898293	10898307	-	237
9097	chr3L	10898548	10898578	-	345
9098	chr3L	10898878	10898919	-	149
9099	chr3L	10898962	10899167	-	25385
9100	chr3L	10985602	10985728	-	3795
9101	chr3L	11046636	11046641	-	2418
9102	chr3L	11061123	11061253	-	3665
9103	chr3L	11062576	11062654	-	8061
9104	chr3L	11064672	11064757	-	1291
9105	chr3L	11069851	11069892	-	1880
9106	chr3L	11074307	11074420	-	15107
9107	chr3L	11091772	11091902	-	4844
9108	chr3L	11093130	11093202	-	5287
9109	chr3L	11095826	11095862	-	212
9110	chr3L	11096181	11096294	-	11966
9111	chr3L	11096601	11096605	-	110
9112	chr3L	11098169	11098274	-	3169
9113	chr3L	11107483	11107644	-	1471
9114	chr3L	11109479	11109584	-	3342
9115	chr3L	11112812	11112842	-	149
9116	chr3L	11113591	11113786	-	42708
9117	chr3L	11115486	11115514	-	320
9118	chr3L	11118459	11118466	-	175
9119	chr3L	11120735	11120806	-	2395
9120	chr3L	11123097	11123275	-	9253
9121	chr3L	11123367	11123385	-	112
9122	chr3L	11123663	11123708	-	115
9123	chr3L	11128600	11128647	-	125
9124	chr3L	11168239	11168290	-	449
9125	chr3L	11169580	11169652	-	627
9126	chr3L	11197530	11197534	-	1087
9127	chr3L	11205996	11206020	-	1835
9128	chr3L	11210413	11210583	-	5319
9129	chr3L	11229414	11229518	-	1976
9130	chr3L	11275820	11275821	-	209
9131	chr3L	11289409	11289419	-	306
9132	chr3L	11291074	11291139	-	111
9133	chr3L	11291271	11291300	-	91
9134	chr3L	11294786	11294788	-	452
9135	chr3L	11295813	11295814	-	823
9136	chr3L	11349770	11349773	-	409
9137	chr3L	11364894	11364900	-	658
9138	chr3L	11364951	11364976	-	343
9139	chr3L	11427728	11427782	-	342
9140	chr3L	11458402	11458461	-	2055
9141	chr3L	11465309	11465445	-	8064
9142	chr3L	11520816	11520821	-	228
9143	chr3L	11521851	11521853	-	104
9144	chr3L	11522623	11522739	-	4992
9145	chr3L	11534493	11534498	-	954
9146	chr3L	11553108	11553114	-	3296
9147	chr3L	11561969	11562044	-	280
9148	chr3L	11562155	11562274	-	2788
9149	chr3L	11563156	11563190	-	129
9150	chr3L	11574622	11574692	-	2774
9151	chr3L	11576874	11576988	-	1665
9152	chr3L	11577049	11577122	-	864
9153	chr3L	11577489	11577508	-	117
9154	chr3L	11584059	11584125	-	1569
9155	chr3L	11608236	11608330	-	4689
9156	chr3L	11609079	11609192	-	4297
9157	chr3L	11609253	11609291	-	155
9158	chr3L	11609361	11609509	-	6373
9159	chr3L	11621819	11621822	-	146
9160	chr3L	11623699	11623758	-	14545
9161	chr3L	11624353	11624434	-	1574
9162	chr3L	11626004	11626142	-	5361
9163	chr3L	11638961	11639023	-	407
9164	chr3L	11648410	11648477	-	1440
9165	chr3L	11675734	11675834	-	2404
9166	chr3L	11680339	11680342	-	191
9167	chr3L	11691335	11691514	-	1181
9168	chr3L	11695639	11695718	-	330
9169	chr3L	11696442	11696470	-	391
9170	chr3L	11696939	11697002	-	1488
9171	chr3L	11707723	11707747	-	623
9172	chr3L	11708512	11708597	-	2510
9173	chr3L	11711312	11711398	-	6123
9174	chr3L	11715281	11715282	-	164
9175	chr3L	11774428	11774557	-	14475
9176	chr3L	11788259	11788362	-	1429
9177	chr3L	11789964	11790041	-	5050
9178	chr3L	11793168	11793299	-	844
9179	chr3L	11800456	11800557	-	314
9180	chr3L	11814661	11814721	-	232
9181	chr3L	11819937	11819954	-	4330
9182	chr3L	11821483	11821547	-	643
9183	chr3L	11821970	11822035	-	251
9184	chr3L	11822204	11822281	-	1808
9185	chr3L	11825686	11825732	-	966
9186	chr3L	11833265	11833430	-	2079
9187	chr3L	11833506	11833595	-	10713
9188	chr3L	11847738	11847865	-	10526
9189	chr3L	11871237	11871377	-	4352
9190	chr3L	11924750	11924815	-	1679
9191	chr3L	11966130	11966131	-	132
9192	chr3L	11993116	11993187	-	6584
9193	chr3L	11998076	11998155	-	1051
9194	chr3L	12001148	12001251	-	2475
9195	chr3L	12002798	12002917	-	3921
9196	chr3L	12056411	12056414	-	123
9197	chr3L	12056463	12056471	-	1823
9198	chr3L	12081824	12081829	-	2656
9199	chr3L	12124999	12125212	-	41408
9200	chr3L	12136656	12136815	-	1419
9201	chr3L	12138309	12138575	-	35023
9202	chr3L	12138618	12138668	-	1201
9203	chr3L	12144981	12144982	-	379
9204	chr3L	12146019	12146135	-	6827
9205	chr3L	12193662	12193699	-	1365
9206	chr3L	12203922	12203928	-	850
9207	chr3L	12204032	12204144	-	1488
9208	chr3L	12205976	12206032	-	1141
9209	chr3L	12214478	12214561	-	236
9210	chr3L	12224284	12224330	-	529
9211	chr3L	12266760	12266794	-	734
9212	chr3L	12271291	12271364	-	386
9213	chr3L	12277156	12277274	-	5628
9214	chr3L	12302567	12302596	-	143
9215	chr3L	12376276	12376279	-	201
9216	chr3L	12391438	12391444	-	345
9217	chr3L	12399287	12399342	-	843
9218	chr3L	12408644	12408647	-	1264
9219	chr3L	12413896	12414056	-	2815
9220	chr3L	12414689	12414710	-	220
9221	chr3L	12414755	12414848	-	3164
9222	chr3L	12417494	12417583	-	1383
9223	chr3L	12490022	12490134	-	1501
9224	chr3L	12490672	12490673	-	451
9225	chr3L	12501251	12501341	-	5011
9226	chr3L	12503842	12503890	-	640
9227	chr3L	12511865	12511937	-	201
9228	chr3L	12514757	12514804	-	2182
9229	chr3L	12523946	12524040	-	2161
9230	chr3L	12526240	12526266	-	223
9231	chr3L	12526618	12526740	-	26959
9232	chr3L	12530086	12530166	-	1494
9233	chr3L	12533663	12533746	-	3388
9234	chr3L	12537256	12537325	-	1354
9235	chr3L	12572496	12572555	-	2788
9236	chr3L	12734525	12734649	-	15583
9237	chr3L	12748640	12748762	-	500
9238	chr3L	12750005	12750095	-	3265
9239	chr3L	12754706	12754829	-	3584
9240	chr3L	12770951	12771118	-	2171
9241	chr3L	12773512	12773579	-	1146
9242	chr3L	12778690	12778774	-	2302
9243	chr3L	12781034	12781180	-	2551
9244	chr3L	12805023	12805120	-	4557
9245	chr3L	12813956	12814044	-	2353
9246	chr3L	12832540	12832564	-	798
9247	chr3L	12843095	12843103	-	649
9248	chr3L	12848108	12848140	-	122
9249	chr3L	12850080	12850091	-	273
9250	chr3L	12889633	12889674	-	269
9251	chr3L	12903648	12903803	-	2148
9252	chr3L	12954563	12954638	-	664
9253	chr3L	12972337	12972409	-	4993
9254	chr3L	12990137	12990141	-	176
9255	chr3L	13010058	13010059	-	105
9256	chr3L	13010119	13010284	-	3381
9257	chr3L	13011664	13011731	-	880
9258	chr3L	13015237	13015352	-	1955
9259	chr3L	13017805	13017873	-	1168
9260	chr3L	13021654	13021691	-	1147
9261	chr3L	13022645	13022719	-	1953
9262	chr3L	13026356	13026487	-	7310
9263	chr3L	13029058	13029126	-	799
9264	chr3L	13082632	13082689	-	144
9265	chr3L	13087168	13087330	-	14504
9266	chr3L	13089976	13090029	-	1430
9267	chr3L	13215994	13216071	-	443
9268	chr3L	13218831	13218886	-	143
9269	chr3L	13230011	13230087	-	743
9270	chr3L	13248676	13248803	-	2255
9271	chr3L	13296861	13296862	-	124
9272	chr3L	13299023	13299026	-	183
9273	chr3L	13300154	13300157	-	856
9274	chr3L	13302123	13302182	-	445
9275	chr3L	13324897	13325002	-	272
9276	chr3L	13344204	13344328	-	2065
9277	chr3L	13359414	13359436	-	191
9278	chr3L	13379642	13379700	-	1620
9279	chr3L	13381666	13381681	-	107
9280	chr3L	13387756	13387926	-	1535
9281	chr3L	13389891	13390076	-	3212
9282	chr3L	13399047	13399087	-	140
9283	chr3L	13412455	13412511	-	576
9284	chr3L	13419810	13419842	-	266
9285	chr3L	13425680	13425746	-	1411
9286	chr3L	13438022	13438072	-	279
9287	chr3L	13450252	13450299	-	2155
9288	chr3L	13469179	13469242	-	446
9289	chr3L	13469314	13469322	-	166
9290	chr3L	13474455	13474559	-	4950
9291	chr3L	13474795	13474797	-	322
9292	chr3L	13486250	13486298	-	1969
9293	chr3L	13513034	13513127	-	2410
9294	chr3L	13666759	13666764	-	1189
9295	chr3L	13842936	13843052	-	11781
9296	chr3L	13866898	13866902	-	429
9297	chr3L	13903230	13903232	-	297
9298	chr3L	13919953	13919962	-	1992
9299	chr3L	13925330	13925331	-	297
9300	chr3L	13928917	13928999	-	779
9301	chr3L	13964652	13964728	-	1918
9302	chr3L	13971783	13971843	-	471
9303	chr3L	13999179	13999274	-	1055
9304	chr3L	14001657	14001685	-	98
9305	chr3L	14001823	14001878	-	398
9306	chr3L	14007702	14007728	-	156
9307	chr3L	14029092	14029145	-	863
9308	chr3L	14030295	14030374	-	556
9309	chr3L	14030420	14030421	-	963
9310	chr3L	14031328	14031736	-	40550
9311	chr3L	14049896	14049956	-	1010
9312	chr3L	14053056	14053117	-	2115
9313	chr3L	14098061	14098064	-	974
9314	chr3L	14178563	14178635	-	555
9315	chr3L	14226638	14226675	-	233
9316	chr3L	14245474	14245530	-	278
9317	chr3L	14245619	14245626	-	136
9318	chr3L	14245668	14245693	-	307
9319	chr3L	14283007	14283089	-	722
9320	chr3L	14326248	14326310	-	456
9321	chr3L	14369637	14369778	-	7080
9322	chr3L	14408800	14408916	-	1912
9323	chr3L	14409857	14409973	-	1394
9324	chr3L	14410920	14410974	-	427
9325	chr3L	14413565	14413659	-	1100
9326	chr3L	14427388	14427419	-	1246
9327	chr3L	14476707	14476709	-	1381
9328	chr3L	14536270	14536279	-	3908
9329	chr3L	14550966	14550974	-	3078
9330	chr3L	14584222	14584282	-	320
9331	chr3L	14632035	14632086	-	2347
9332	chr3L	14661972	14662044	-	641
9333	chr3L	14672281	14672509	-	30748
9334	chr3L	14697085	14697173	-	5322
9335	chr3L	14698597	14698664	-	746
9336	chr3L	14733454	14733573	-	7180
9337	chr3L	14757331	14757332	-	329
9338	chr3L	14757948	14757969	-	2650
9339	chr3L	14761081	14761224	-	2831
9340	chr3L	14761854	14761894	-	363
9341	chr3L	14769259	14769350	-	490
9342	chr3L	14776087	14776148	-	1240
9343	chr3L	14782268	14782296	-	103
9344	chr3L	14786335	14786371	-	1850
9345	chr3L	14786418	14786533	-	1090
9346	chr3L	14801981	14802206	-	37127
9347	chr3L	14803342	14803409	-	3136
9348	chr3L	14894282	14894416	-	6715
