#gene_ID	consensus_cluster_ID	cluster_in_bam	gene_name
FBgn0000052	cluster2029	clusterTSS_bam_1655	ade2
FBgn0039381	cluster11645	clusterTSS_bam_9531	SppL
FBgn0039406	cluster13779	clusterTSS_bam_11311	RpL34a
FBgn0039407	cluster11659	clusterTSS_bam_9543	CG14544
FBgn0039419	cluster11664	clusterTSS_bam_9547	CG12290
FBgn0039427	cluster11673	clusterTSS_bam_9551	CG5447
FBgn0039431	cluster13794	clusterTSS_bam_11321	plum
FBgn0039459	cluster11687	clusterTSS_bam_9559	IntS12
FBgn0039466	cluster11700	clusterTSS_bam_9571	CG5521
FBgn0039467	cluster11701	clusterTSS_bam_9572	CG14253
FBgn0039529	cluster13866	clusterTSS_bam_11386	CG5612
FBgn0039655	cluster13954	clusterTSS_bam_11467	CG14507
FBgn0039665	cluster13967	clusterTSS_bam_11478	CG2310
FBgn0039674	cluster11844	clusterTSS_bam_9687	CG1907
FBgn0039680	cluster11849	clusterTSS_bam_9691	Cap-D2
FBgn0039685	cluster13975	clusterTSS_bam_11484	Obp99b
FBgn0039691	cluster11861	clusterTSS_bam_9701	IntS11
FBgn0039697	cluster13985	clusterTSS_bam_11493	CG7834
FBgn0039698	cluster11869	clusterTSS_bam_9709	CG7789
FBgn0039711	cluster13994	clusterTSS_bam_11499	CG7824
FBgn0039713	cluster11875	clusterTSS_bam_9713	RpS8
FBgn0039756	cluster14046	clusterTSS_bam_11534	CG9743
FBgn0039757	cluster14049	clusterTSS_bam_11538	RpS7
FBgn0039830	cluster14109	clusterTSS_bam_11581	CG1746
FBgn0039849	cluster14118	clusterTSS_bam_11590	CG11334
FBgn0039857	cluster14125	clusterTSS_bam_11597	RpL6
FBgn0039870	cluster11995	clusterTSS_bam_9807	CG1896
FBgn0039883	cluster12008	clusterTSS_bam_9818	RhoGAP100F
FBgn0039886	cluster12009	clusterTSS_bam_9819	CG2003
FBgn0039920	cluster14208	clusterTSS_bam_11669	CG11360
FBgn0039927	cluster14225	clusterTSS_bam_11689	CG11155
FBgn0039959	cluster9972	clusterTSS_bam_8146	CG17514
FBgn0040064	cluster764	clusterTSS_bam_661	yip2
FBgn0040071	cluster10908	clusterTSS_bam_8931	tara
FBgn0040091	cluster6369	clusterTSS_bam_5185	Ugt58Fa
FBgn0040102	cluster297	clusterTSS_bam_243	lectin-24Db
FBgn0040207	cluster16563	clusterTSS_bam_13876	kat80
FBgn0040238	cluster12563	clusterTSS_bam_10271	Best1
FBgn0040271	cluster13044	clusterTSS_bam_10695	Sulf1
FBgn0040290	cluster8871	clusterTSS_bam_7266	RecQ4
FBgn0040299	cluster579	clusterTSS_bam_499	Myo28B1
FBgn0040309	cluster15106	clusterTSS_bam_12526	Jafrac1
FBgn0040340	cluster14367	clusterTSS_bam_11828	TRAM
FBgn0040364	cluster14379	clusterTSS_bam_11840	CG11378
FBgn0040397	cluster15646	clusterTSS_bam_13035	CG3655
FBgn0040465	cluster4269	clusterTSS_bam_3474	Dip3
FBgn0040507	cluster6774	clusterTSS_bam_5538	ACXD
FBgn0040602	cluster13770	clusterTSS_bam_11303	CG14545
FBgn0040752	cluster5709	clusterTSS_bam_4637	Prosap
FBgn0040765	cluster5460	clusterTSS_bam_4424	luna
FBgn0040773	cluster3609	clusterTSS_bam_2898	CoVIIc
FBgn0040793	cluster7847	clusterTSS_bam_6439	CG7630
FBgn0040837	cluster7098	clusterTSS_bam_5805	CG8620
FBgn0041096	cluster9197	clusterTSS_bam_7557	rols
FBgn0041182	cluster2172	clusterTSS_bam_1774	Tep2
FBgn0041607	cluster8076	clusterTSS_bam_6620	asparagine-synthetase
FBgn0041629	cluster14827	clusterTSS_bam_12256	Hexo2
FBgn0041775	cluster7501	clusterTSS_bam_6158	tral
FBgn0042083	cluster3322	clusterTSS_bam_2652	CG3267
FBgn0043002	cluster668	clusterTSS_bam_591	Chrac-14
FBgn0043364	cluster1630	clusterTSS_bam_1328	cbt
FBgn0043806	cluster7255	clusterTSS_bam_5944	CG32032
FBgn0044020	cluster5494	clusterTSS_bam_4459	Roc2
FBgn0044047	cluster15737	clusterTSS_bam_13125	Ilp6
FBgn0044324	cluster9909	clusterTSS_bam_8117	Chro
FBgn0044823	cluster12202	clusterTSS_bam_9957	Spec2
FBgn0046258	cluster11740	clusterTSS_bam_9600	CG12880
FBgn0046302	cluster2932	clusterTSS_bam_2372	CG10650
FBgn0046687	cluster15896	clusterTSS_bam_13253	Tre1
FBgn0050011	cluster3627	clusterTSS_bam_2917	gem
FBgn0050021	cluster5463	clusterTSS_bam_4427	metro
FBgn0050085	cluster5847	clusterTSS_bam_4754	Rif1
FBgn0050089	cluster4059	clusterTSS_bam_3285	CG30089
FBgn0050104	cluster4203	clusterTSS_bam_3408	NT5E-2
FBgn0050118	cluster6083	clusterTSS_bam_4961	CG30118
FBgn0050147	cluster6209	clusterTSS_bam_5065	Hil
FBgn0050169	cluster4857	clusterTSS_bam_3959	Brca2
FBgn0050295	cluster4486	clusterTSS_bam_3636	Ipk1
FBgn0050344	cluster3534	clusterTSS_bam_2832	CG30344
FBgn0050345	cluster3536	clusterTSS_bam_2835	CG30345
FBgn0050403	cluster6303	clusterTSS_bam_5138	CG30403
FBgn0050418	cluster4836	clusterTSS_bam_3939	nord
FBgn0050421	cluster4879	clusterTSS_bam_3981	CG30421
FBgn0051053	cluster13885	clusterTSS_bam_11407	CG31053
FBgn0051098	cluster13718	clusterTSS_bam_11260	CG31098
FBgn0051100	cluster12430	clusterTSS_bam_10138	CG31100
FBgn0051122	cluster13177	clusterTSS_bam_10818	CG31122
FBgn0051151	cluster13471	clusterTSS_bam_11046	wge
FBgn0051163	cluster11297	clusterTSS_bam_9247	SKIP
FBgn0051195	cluster13332	clusterTSS_bam_10925	CG31195
FBgn0051216	cluster11120	clusterTSS_bam_9103	Naam
FBgn0051324	cluster11660	clusterTSS_bam_9544	CG31324
FBgn0051388	cluster10546	clusterTSS_bam_8608	CG31388
FBgn0051676	cluster1464	clusterTSS_bam_1206	CG31676
FBgn0051997	cluster14244	clusterTSS_bam_11708	CG31997
FBgn0051998	cluster14254	clusterTSS_bam_11718	CG31998
FBgn0052000	cluster14176	clusterTSS_bam_11640	CG32000
FBgn0052056	cluster9059	clusterTSS_bam_7450	scramb1
FBgn0052091	cluster7447	clusterTSS_bam_6113	CG32091
FBgn0052170	cluster7816	clusterTSS_bam_6414	CG32170
FBgn0052204	cluster9625	clusterTSS_bam_7898	CG32204
FBgn0052251	cluster6963	clusterTSS_bam_5717	Claspin
FBgn0052350	cluster9920	clusterTSS_bam_8123	CG32350
FBgn0052412	cluster8716	clusterTSS_bam_7136	QC
FBgn0052418	cluster8705	clusterTSS_bam_7127	vito
FBgn0052452	cluster8184	clusterTSS_bam_6699	CG32452
FBgn0052506	cluster15505	clusterTSS_bam_12929	CG32506
FBgn0052594	cluster15180	clusterTSS_bam_12594	be
FBgn0052625	cluster16408	clusterTSS_bam_13741	CG32625
FBgn0052687	cluster16202	clusterTSS_bam_13546	CG32687
FBgn0052699	cluster16156	clusterTSS_bam_13506	CG32699
FBgn0052813	cluster14390	clusterTSS_bam_11850	CG32813
FBgn0053052	cluster9526	clusterTSS_bam_7826	CG33052
FBgn0053126	cluster1683	clusterTSS_bam_1372	NLaz
FBgn0053276	cluster8825	clusterTSS_bam_7230	CG33276
FBgn0053494	cluster13739	clusterTSS_bam_11283	CG33494
FBgn0053519	cluster6520	clusterTSS_bam_5327	Unc-89
FBgn0053556	cluster7094	clusterTSS_bam_5802	form3
FBgn0060296	cluster6593	clusterTSS_bam_5390	pain
FBgn0061200	cluster15313	clusterTSS_bam_12731	Nup153
FBgn0062413	cluster14689	clusterTSS_bam_12138	Ctr1A
FBgn0062440	cluster6058	clusterTSS_bam_4935	CG17680
FBgn0063498	cluster4303	clusterTSS_bam_3508	GstE2
FBgn0064225	cluster3173	clusterTSS_bam_2543	RpL5
FBgn0067102	cluster4599	clusterTSS_bam_3739	GlcT-1
FBgn0067629	cluster10798	clusterTSS_bam_8818	CG33332
FBgn0083940	cluster14898	clusterTSS_bam_12332	RhoU
FBgn0083972	cluster1484	clusterTSS_bam_1221	CG34136
FBgn0085188	cluster2358	clusterTSS_bam_1938	CG34159
FBgn0085195	cluster1114	clusterTSS_bam_945	CG34166
FBgn0085352	cluster15042	clusterTSS_bam_12471	CG34323
FBgn0085370	cluster2883	clusterTSS_bam_2325	Pde11
FBgn0085376	cluster11959	clusterTSS_bam_9780	CG34347
FBgn0085377	cluster14957	clusterTSS_bam_12386	CG34348
FBgn0085384	cluster11429	clusterTSS_bam_9352	CG34355
FBgn0085400	cluster6419	clusterTSS_bam_5237	CG34371
FBgn0085407	cluster2144	clusterTSS_bam_1744	Pvf3
FBgn0085424	cluster988	clusterTSS_bam_856	nub
FBgn0085446	cluster14677	clusterTSS_bam_12129	CG34417
FBgn0085489	cluster4144	clusterTSS_bam_3346	CG34460
FBgn0086347	cluster2412	clusterTSS_bam_1987	Myo31DF
FBgn0086365	cluster11487	clusterTSS_bam_9405	Orct2
FBgn0086451	cluster519	clusterTSS_bam_445	l(2)k09022
FBgn0086532	cluster3871	clusterTSS_bam_3125	Spt-I
FBgn0086676	cluster4081	clusterTSS_bam_3304	spin
FBgn0086690	cluster9355	clusterTSS_bam_7676	cp309
FBgn0086695	cluster12156	clusterTSS_bam_9914	hd
FBgn0086710	cluster2933	clusterTSS_bam_2375	RpL30
FBgn0086912	cluster1606	clusterTSS_bam_1309	mbm
FBgn0087039	cluster7183	clusterTSS_bam_5885	Sbp2
FBgn0243486	cluster1284	clusterTSS_bam_1058	rdo
FBgn0250788	cluster15366	clusterTSS_bam_12782	beta-Spec
FBgn0250789	cluster8428	clusterTSS_bam_6886	alpha-Spec
FBgn0250816	cluster8224	clusterTSS_bam_6728	AGO3
FBgn0250837	cluster902	clusterTSS_bam_788	dUTPase
FBgn0250850	cluster6213	clusterTSS_bam_5068	rig
FBgn0250862	cluster15086	clusterTSS_bam_12506	CG42237
FBgn0250867	cluster3070	clusterTSS_bam_2487	CG42238
FBgn0250869	cluster14662	clusterTSS_bam_12112	CG42240
FBgn0259113	cluster13402	clusterTSS_bam_10982	DNApol-alpha180
FBgn0259171	cluster16349	clusterTSS_bam_13687	Pde9
FBgn0259173	cluster8790	clusterTSS_bam_7196	corn
FBgn0259175	cluster7639	clusterTSS_bam_6267	ome
FBgn0259227	cluster10580	clusterTSS_bam_8631	CG42327
FBgn0259242	cluster15948	clusterTSS_bam_13303	CG42340
FBgn0259244	cluster10932	clusterTSS_bam_8950	CG42342
FBgn0259682	cluster6109	clusterTSS_bam_4977	Jabba
FBgn0259685	cluster11494	clusterTSS_bam_9409	crb
FBgn0259745	cluster5101	clusterTSS_bam_4142	wech
FBgn0259785	cluster8087	clusterTSS_bam_6628	pzg
FBgn0259789	cluster16820	clusterTSS_bam_14116	vfl
FBgn0259824	cluster7736	clusterTSS_bam_6340	Hip14
FBgn0259878	cluster5802	clusterTSS_bam_4715	Fs
FBgn0259916	cluster8868	clusterTSS_bam_7264	CG42445
FBgn0259923	cluster16604	clusterTSS_bam_13918	Sep4
FBgn0259927	cluster15408	clusterTSS_bam_12825	CG42450
FBgn0259935	cluster7120	clusterTSS_bam_5832	CG42458
FBgn0259937	cluster4826	clusterTSS_bam_3929	Nop60B
FBgn0259984	cluster1060	clusterTSS_bam_904	kuz
FBgn0260005	cluster10271	clusterTSS_bam_8373	wtrw
FBgn0260011	cluster1088	clusterTSS_bam_926	NimC4
FBgn0260049	cluster7565	clusterTSS_bam_6206	flr
FBgn0260400	cluster15610	clusterTSS_bam_13000	elav
FBgn0260456	cluster6570	clusterTSS_bam_5370	CG4806
FBgn0260659	cluster10807	clusterTSS_bam_8825	CG42542
FBgn0260743	cluster10602	clusterTSS_bam_8648	GC1
FBgn0260745	cluster12711	clusterTSS_bam_10401	mfas
FBgn0260746	cluster10604	clusterTSS_bam_8650	Ect3
FBgn0260768	cluster4648	clusterTSS_bam_3779	CG42566
FBgn0260934	cluster4404	clusterTSS_bam_3583	par-1
FBgn0260945	cluster9244	clusterTSS_bam_7604	Atg1
FBgn0260960	cluster9482	clusterTSS_bam_7790	Baldspot
FBgn0260985	cluster8617	clusterTSS_bam_7043	RfC4
FBgn0261119	cluster6084	clusterTSS_bam_4962	Prp19
FBgn0261244	cluster15147	clusterTSS_bam_12566	inaE
FBgn0261258	cluster8097	clusterTSS_bam_6634	rgn
FBgn0261260	cluster16144	clusterTSS_bam_13499	mgl
FBgn0261266	cluster2523	clusterTSS_bam_2073	zuc
FBgn0261284	cluster14715	clusterTSS_bam_12162	bou
FBgn0261286	cluster13043	clusterTSS_bam_10694	Mat89Ba
FBgn0261403	cluster3244	clusterTSS_bam_2598	sxc
FBgn0261436	cluster12043	clusterTSS_bam_9840	DhpD
FBgn0261451	cluster15749	clusterTSS_bam_13133	trol
FBgn0261458	cluster1667	clusterTSS_bam_1364	capt
FBgn0261509	cluster114	clusterTSS_bam_99	haf
FBgn0261514	cluster1083	clusterTSS_bam_922	NimA
FBgn0261532	cluster13144	clusterTSS_bam_10786	cdm
FBgn0261545	cluster3841	clusterTSS_bam_3096	CG42663
FBgn0261555	cluster7301	clusterTSS_bam_5992	CG42673
FBgn0261556	cluster9721	clusterTSS_bam_7975	CG42674
FBgn0261574	cluster7987	clusterTSS_bam_6551	kug
FBgn0261592	cluster16025	clusterTSS_bam_13375	RpS6
FBgn0261593	cluster15449	clusterTSS_bam_12868	RpS10b
FBgn0261596	cluster6368	clusterTSS_bam_5184	RpS24
FBgn0261597	cluster2876	clusterTSS_bam_2315	RpS26
FBgn0261602	cluster6806	clusterTSS_bam_5561	RpL8
FBgn0261618	cluster13907	clusterTSS_bam_11426	larp
FBgn0261794	cluster4769	clusterTSS_bam_3872	kcc
FBgn0261800	cluster591	clusterTSS_bam_507	LanB1
FBgn0261822	cluster613	clusterTSS_bam_531	Bsg
FBgn0261873	cluster14787	clusterTSS_bam_12217	sdt
FBgn0261882	cluster2702	clusterTSS_bam_2201	l(2)35Bc
FBgn0261954	cluster14435	clusterTSS_bam_11891	east
FBgn0261987	cluster10986	clusterTSS_bam_8988	Pxt
FBgn0262101	cluster16644	clusterTSS_bam_13953	CG42854
FBgn0262115	cluster3219	clusterTSS_bam_2573	CG17683
FBgn0262117	cluster4941	clusterTSS_bam_4020	IntS3
FBgn0262473	cluster11685	clusterTSS_bam_9558	Tl
FBgn0262476	cluster4325	clusterTSS_bam_3528	CG43066
FBgn0262526	cluster1133	clusterTSS_bam_956	vas
FBgn0262526	cluster1133	clusterTSS_bam_956	vas
FBgn0262527	cluster10870	clusterTSS_bam_8901	nsl1
FBgn0262559	cluster11019	clusterTSS_bam_9013	Mdh2
FBgn0262560	cluster5900	clusterTSS_bam_4803	wcd
FBgn0262562	cluster13127	clusterTSS_bam_10769	CG43102
FBgn0262619	cluster4762	clusterTSS_bam_3868	DNA-ligI
FBgn0262656	cluster14504	clusterTSS_bam_11957	dm
FBgn0262733	cluster8640	clusterTSS_bam_7062	Src64B
FBgn0262736	cluster5027	clusterTSS_bam_4080	Vha16-1
FBgn0262742	cluster10934	clusterTSS_bam_8953	Fas1
FBgn0262782	cluster2399	clusterTSS_bam_1976	Mdh1
FBgn0262955	cluster10765	clusterTSS_bam_8787	RpII140
FBgn0262976	cluster16071	clusterTSS_bam_13426	lawc
FBgn0262987	cluster7743	clusterTSS_bam_6347	CG43295
FBgn0263005	cluster16365	clusterTSS_bam_13699	CG43313
FBgn0263102	cluster3667	clusterTSS_bam_2942	psq
FBgn0263110	cluster6947	clusterTSS_bam_5701	CG43367
FBgn0263198	cluster1338	clusterTSS_bam_1100	Acn
FBgn0263232	cluster7587	clusterTSS_bam_6224	Nxf3
FBgn0263316	cluster10569	clusterTSS_bam_8621	Mrp4
FBgn0263352	cluster8910	clusterTSS_bam_7301	Unr
FBgn0263510	cluster3689	clusterTSS_bam_2966	nclb
FBgn0263598	cluster1005	clusterTSS_bam_867	Vha68-2
FBgn0263599	cluster9408	clusterTSS_bam_7716	l(3)72Ab
FBgn0263772	cluster14538	clusterTSS_bam_11991	CG43689
FBgn0263916	cluster498	clusterTSS_bam_428	Ent2
FBgn0263930	cluster7237	clusterTSS_bam_5928	dally
FBgn0263974	cluster11054	clusterTSS_bam_9046	qin
FBgn0264078	cluster15177	clusterTSS_bam_12593	Flo2
FBgn0264090	cluster15417	clusterTSS_bam_12834	CG43759
FBgn0264270	cluster15989	clusterTSS_bam_13345	Sxl
FBgn0264395	cluster16713	clusterTSS_bam_14017	CG43843
FBgn0264491	cluster11293	clusterTSS_bam_9244	how
FBgn0264562	cluster14434	clusterTSS_bam_11890	Hr4
FBgn0264607	cluster14307	clusterTSS_bam_11770	CaMKII
FBgn0264691	cluster16157	clusterTSS_bam_13507	Lst8
FBgn0264744	cluster1835	clusterTSS_bam_1492	CG44002
FBgn0264753	cluster6141	clusterTSS_bam_5009	Rgk1
FBgn0264894	cluster1025	clusterTSS_bam_881	CG44085
FBgn0264953	cluster625	clusterTSS_bam_545	Piezo
FBgn0265180	cluster4527	clusterTSS_bam_3678	CG44245
FBgn0265185	cluster5617	clusterTSS_bam_4562	CG44250
FBgn0265186	cluster5617	clusterTSS_bam_4562	CG44251
FBgn0265191	cluster4527	clusterTSS_bam_3678	Glycogenin
FBgn0265274	cluster13927	clusterTSS_bam_11442	Inx3
FBgn0265276	cluster12687	clusterTSS_bam_10379	l(3)neo38
FBgn0265434	cluster6613	clusterTSS_bam_5410	zip
FBgn0265523	cluster16343	clusterTSS_bam_13683	Smr
FBgn0265725	cluster14857	clusterTSS_bam_12289	CG44532
FBgn0266418	cluster11363	clusterTSS_bam_9292	wake
FBgn0266450	cluster459	clusterTSS_bam_394	Kr-h1
FBgn0266452	cluster7670	clusterTSS_bam_6288	CTPsyn
FBgn0266581	cluster11292	clusterTSS_bam_9243	pit
FBgn0266756	cluster12928	clusterTSS_bam_10586	btsz
FBgn0267348	cluster7306	clusterTSS_bam_5995	LanB2
FBgn0267385	cluster11308	clusterTSS_bam_9257	PyK
